munro,height_wh,height_dobih,height_diff,region,xcoord,ycoord,grid_ref,scramble,exposed,spate,bog,river,arete,time_hours_min,time_hours_max,distance_km,ascent,first_route_title,site_key,time,scramble_exposed,wet
Maoile Lunndaidh,1007,1004.9,2.1000000000000227,Torridon,213506,845853,NH135458,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,11,26,1005,Maoile Lunndaidh from Achnashellach,NH135458,9.5,Neither,Boggy
A' Chailleach,997,998.6,1.6000000000000227,Ullapool,213621,871413,NH136714,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,16,1127,Sgùrr Breac and a' Chailleach from near Braemore,NH136714,7,Neither,Boggy
Càrn Ghluasaid,957,957,0,Kintail,214576,812523,NH145125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,8,17.5,1260,Sgùrr nan Conbhairean from Loch Cluanie,NH145125,7.5,Neither,Neither
Fionn Bheinn,933,933,0,Torridon,214749,862149,NH147621,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,6,12,807,Fionn Bheinn from Achnasheen,NH147621,5.5,Neither,Boggy
Sgùrr Breac,999,999.6,0.6000000000000227,Ullapool,215840,871107,NH158711,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,16,1127,Sgùrr Breac and a' Chailleach from near Braemore,NH158711,7,Neither,Boggy
Sgùrr na Lapaich,1150,1151,1,Loch Ness,216103,835125,NH161351,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,11,14,29,1826,The Loch Mullardoch Munros circuit,NH161351,12.5,Scramble,Boggy
Tom a' Chòinich,1112,1112,0,Loch Ness,216402,827331,NH164273,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,6,8,16.5,1096,Toll Creagach and Tom a' Chòinich from Glen Affric,NH164273,7,Neither,Both
Càrn nan Gobhar,992,993,1,Loch Ness,218188,834362,NH181343,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,11,14,29,1826,The Loch Mullardoch Munros circuit,NH181343,12.5,Scramble,Boggy
Sgùrr nan Each,923,923,0,Ullapool,218464,869769,NH184697,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,7,9,18,1153,Sgùrr nan Clach Geala ridge,NH184697,8,Neither,Both
Sgùrr nan Clach Geala,1093,1093,0,Ullapool,218428,871473,NH184714,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,7,9,18,1153,Sgùrr nan Clach Geala ridge,NH184714,8,Neither,Both
Meall a' Chrasgaidh,934,934,0,Ullapool,218482,873320,NH184733,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,7,9,18,1153,Sgùrr nan Clach Geala ridge,NH184733,8,Neither,Both
Toll Creagach,1054,1054,0,Loch Ness,219401,828280,NH194282,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,6,8,16.5,1096,Toll Creagach and Tom a' Chòinich from Glen Affric,NH194282,7,Neither,Both
Sgùrr Mòr,1110,1108.9,1.099999999999909,Ullapool,220323,871818,NH203718,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,24.75,1435,Sgùrr Mòr and the eastern Fannichs,NH203718,10,Neither,Boggy
Beinn Liath Mhòr Fannaich,954,954,0,Ullapool,221960,872410,NH219724,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,24.75,1435,Sgùrr Mòr and the eastern Fannichs,NH219724,10,Neither,Boggy
Meall Gorm,949,949.7,0.7000000000000455,Ullapool,222192,869584,NH221695,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,24.75,1435,Sgùrr Mòr and the eastern Fannichs,NH221695,10,Neither,Boggy
Sgùrr Fhuar-thuill,1049,1049,0,Loch Ness,223580,843754,NH235437,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,10,25,1567,Circuit of the Strathfarrar Munros,NH235437,8.5,Neither,Boggy
An Coileachan,923,924,1,Ullapool,224172,868024,NH241680,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,24.75,1435,Sgùrr Mòr and the eastern Fannichs,NH241680,10,Neither,Boggy
Meall nan Ceapraichean,977,977,0,Ullapool,225727,882548,NH257825,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9,11,27,1569,Beinn Dearg Munros circuit from Inverlael,NH257825,10,Neither,Neither
Eididh nan Clach Geala,927,927,0,Ullapool,225788,884216,NH257842,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9,11,27,1569,Beinn Dearg Munros circuit from Inverlael,NH257842,10,Neither,Neither
Sgùrr a' Choire Ghlais,1083,1083,0,Loch Ness,225835,843056,NH258430,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,10,25,1567,Circuit of the Strathfarrar Munros,NH258430,8.5,Neither,Boggy
Beinn Dearg,1084,1084,0,Ullapool,225933,881183,NH259811,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9,11,27,1569,Beinn Dearg Munros circuit from Inverlael,NH259811,10,Neither,Neither
Càrn nan Gobhar,992,992,0,Loch Ness,227303,843890,NH273438,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,11,14,29,1826,The Loch Mullardoch Munros circuit,NH273438,12.5,Scramble,Boggy
Cona' Mheall,978,978,0,Ullapool,227509,881642,NH275816,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9,11,27,1569,Beinn Dearg Munros circuit from Inverlael,NH275816,10,Neither,Neither
Seana Bhràigh,926,926,0,Ullapool,228181,887884,NH281878,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,9,10,27,1095,Seana Bhràigh from Inverlael,NH281878,9.5,Scramble,Both
Sgùrr na Ruaidhe,993,993,0,Loch Ness,228900,842615,NH289426,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,10,25,1567,Circuit of the Strathfarrar Munros,NH289426,8.5,Neither,Boggy
Am Faochagach,954,953,1,Ullapool,230361,879372,NH303793,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,6,14,700,Am Faochagach from the Dirrie Mòr,NH303793,5.5,Neither,Both
Ben Wyvis,1046,1046,0,Loch Ness,246297,868379,NH462683,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4.5,5.5,14,935,Ben Wyvis from near Garbat,NH462683,5,Exposed,Boggy
Càrn Dearg,945,945.7,0.7000000000000455,Cairngorms,263568,802398,NH635023,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,8,10,24.5,946,"The Monadhliath Munros: a' Chailleach, Càrn Sgulain and Càrn Dearg from Glen Banchor",NH635023,9,Neither,Both
A' Chailleach,930,929.3,0.7000000000000455,Cairngorms,268110,804178,NH681041,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,8,10,24.5,946,"The Monadhliath Munros: a' Chailleach, Càrn Sgulain and Càrn Dearg from Glen Banchor",NH681041,9,Neither,Both
Càrn Sgulain,920,920.3,0.2999999999999545,Cairngorms,268302,805821,NH683058,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,8,10,24.5,946,"The Monadhliath Munros: a' Chailleach, Càrn Sgulain and Càrn Dearg from Glen Banchor",NH683058,9,Neither,Both
Cairn Gorm,1245,1244.8,0.20000000000004547,Cairngorms,300516,804065,NJ005040,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6,8,17.5,932,Ben Macdui and Cairngorm from the ski centre,NJ005040,7,Exposed,Boggy
Beinn Mheadhoin,1182,1182.9,0.900000000000091,Cairngorms,302460,801695,NJ024016,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,8,9,19,1560,Beinn Mheadhoin from Coire Cas via the Shelter Stone,NJ024016,8.5,Scramble,Large river
Bynack More,1090,1090,0,Cairngorms,304190,806373,NJ041063,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6.5,7.5,22.5,756,Bynack More from Glenmore Lodge,NJ041063,7,Neither,Boggy
Beinn a' Chaorainn,1082,1083,1,Cairngorms,304515,801360,NJ045013,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,8,10,29,878,Beinn a' Chaorainn and Beinn Bhreac from Linn of Dee,NJ045013,9,Neither,Both
Beinn a' Bhùird,1197,1197,0,Cairngorms,309231,800621,NJ092006,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,8,10,33.5,1000,Ben Avon,NJ092006,9,Both,Large river
Ben Avon,1171,1172,1,Cairngorms,313193,801845,NJ131018,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,8,10,33.5,1000,Ben Avon via Gleann an-Slugain (Deeside),NJ131018,9,Both,Large river
Ben More,966,966,0,Isle of Mull,152576,733078,NM525330,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,5,6.5,9.25,945,Ben More from Dhiseig,NM525330,5.75,Scramble,Boggy
Meall Buidhe,946,946,0,Fort William,184898,798977,NM848989,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,11,13,27,1586,Luinne Bheinn and Meall Buidhe from Inverie,NM848989,12,Scramble,Boggy
Sgùrr nan Coireachan,956,956,0,Fort William,190290,788013,NM902880,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,9,12,23.5,1428,Sgùrr Thuilm & Sgùrr nan Coireachan,NM902880,10.5,Neither,Boggy
Sgùrr na Cìche,1040,1040.2,0.20000000000004547,Fort William,190220,796686,NM902966,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,10,12,26,1523,Sgùrr na Cìche Munros from Loch Arkaig,NM902966,11,Scramble,Both
Garbh Chioch Mhòr,1013,1012.9,0.10000000000002274,Fort William,190956,796101,NM909961,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,10,12,26,1523,Sgùrr na Cìche Munros from Loch Arkaig,NM909961,11,Scramble,Both
