munro,region,height,first_route_title,first_route_url,scramble,exposed,spate,bog,river,arete,time_hours_min,time_hours_max,distance_km,ascent
Ben Lomond,Loch Lomond,974,Ben Lomond from Rowardennan,https://www.walkhighlands.co.uk/lochlomond/ben-lomond.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.5,5.5,12,990
Ben Lui,Argyll,1130,Ben Lui and Beinn a' Chlèibh from Glen Lochay,https://www.walkhighlands.co.uk/argyll/ben-lui.shtml,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,7,10,1078
Ben Macdui,Cairngorms,1309,Ben Macdui and Cairngorm from the ski centre,https://www.walkhighlands.co.uk/cairngorms/macdui-cairngorm.shtml,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6,8,17.5,932
Ben More,Loch Lomond,1174,Ben More and Stob Binnein from Benmore Farm,https://www.walkhighlands.co.uk/lochlomond/ben-more.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,12,1335
Ben More (Mull),Isle of Mull,966,Ben More from Dhiseig,https://www.walkhighlands.co.uk/mull/ben-more-mull.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,5,6.5,9.25,945
Ben More Assynt,Ullapool,998,Ben More Assynt and Conival from Inchnadamph,https://www.walkhighlands.co.uk/ullapool/benmoreassynt.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,8.5,10,17.25,1077
Ben Nevis,Fort William,1345,Ben Nevis via the Mountain Path,https://www.walkhighlands.co.uk/fortwilliam/bennevis.shtml,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7,9,17,1352
Ben Oss,Argyll,1029,Ben Oss and Beinn Dubhchraig from Dalrigh,https://www.walkhighlands.co.uk/argyll/ben-oss.shtml,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,8,17,1230
Ben Starav,Fort William,1078,Ben Starav and Glas Bheinn Mhòr from Glen Etive,https://www.walkhighlands.co.uk/fortwilliam/benstarav.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,8,9,16,1423
Ben Vane,Loch Lomond,915,Ben Vane from Inveruglas,https://www.walkhighlands.co.uk/lochlomond/ben-vane.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4.5,6.5,11,930
Ben Vorlich (Loch Earn),Perthshire,985,Ben Vorlich and Stùc a' Chròin from Ardvorlich,https://www.walkhighlands.co.uk/perthshire/ben-vorlich.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,14.5,1145
Ben Vorlich (Loch Lomond),Loch Lomond,943,Ben Vorlich from Inveruglas via Loch Sloy,https://www.walkhighlands.co.uk/lochlomond/ben-vorlich-lomond.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6.5,13.5,945
Ben Wyvis,Loch Ness,1046,Ben Wyvis from near Garbat,https://www.walkhighlands.co.uk/lochness/Benwyvis.shtml,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4.5,5.5,14,935
Bidean nam Bian,Fort William,1150,Bidean nam Bian via Coire nan Lochain and the Lost Valley,https://www.walkhighlands.co.uk/fortwilliam/bideannambian.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,7,9,11,1316
Bidein a' Choire Sheasgaich,Torridon,945,"Lurg Mhòr and Bidein a' Choire Sheasgaich, from Attadale via Bendronaig Lodge",https://www.walkhighlands.co.uk/torridon/bideinachoiresheasgaich.shtml,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,16,16,38,1530
Bidein a' Ghlas Thuill (An Teallach),Ullapool,1062,"An Teallach traverse, Dundonnell",https://www.walkhighlands.co.uk/ullapool/anteallach.shtml,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,9,10,20,1415
Binnein Beag,Fort William,943,Sgùrr Èilde Mòr and Binnein Beag from Kinlochleven,https://www.walkhighlands.co.uk/fortwilliam/sgurreildemor.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,20,1582
Binnein Mòr,Fort William,1130,Binnein Mòr and Na Gruagaichean,https://www.walkhighlands.co.uk/fortwilliam/binneinmor.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,9,14,1336
